Time,dock coin: (Worldwide)
2018-10-22T12:36:00+01:00,0
2018-10-22T12:44:00+01:00,0
2018-10-22T12:52:00+01:00,13
2018-10-22T13:00:00+01:00,0
2018-10-22T13:08:00+01:00,0
2018-10-22T13:16:00+01:00,0
2018-10-22T13:24:00+01:00,0
2018-10-22T13:32:00+01:00,0
2018-10-22T13:40:00+01:00,0
2018-10-22T13:48:00+01:00,0
2018-10-22T13:56:00+01:00,0
2018-10-22T14:04:00+01:00,0
2018-10-22T14:12:00+01:00,0
2018-10-22T14:20:00+01:00,11
2018-10-22T14:28:00+01:00,0
2018-10-22T14:36:00+01:00,0
2018-10-22T14:44:00+01:00,0
2018-10-22T14:52:00+01:00,0
2018-10-22T15:00:00+01:00,0
2018-10-22T15:08:00+01:00,0
2018-10-22T15:16:00+01:00,10
2018-10-22T15:24:00+01:00,0
2018-10-22T15:32:00+01:00,0
2018-10-22T15:40:00+01:00,10
2018-10-22T15:48:00+01:00,0
2018-10-22T15:56:00+01:00,0
2018-10-22T16:04:00+01:00,0
2018-10-22T16:12:00+01:00,0
2018-10-22T16:20:00+01:00,11
2018-10-22T16:28:00+01:00,10
2018-10-22T16:36:00+01:00,0
2018-10-22T16:44:00+01:00,0
2018-10-22T16:52:00+01:00,0
2018-10-22T17:00:00+01:00,0
2018-10-22T17:08:00+01:00,0
2018-10-22T17:16:00+01:00,11
2018-10-22T17:24:00+01:00,0
2018-10-22T17:32:00+01:00,0
2018-10-22T17:40:00+01:00,0
2018-10-22T17:48:00+01:00,0
2018-10-22T17:56:00+01:00,0
2018-10-22T18:04:00+01:00,0
2018-10-22T18:12:00+01:00,0
2018-10-22T18:20:00+01:00,0
2018-10-22T18:28:00+01:00,0
2018-10-22T18:36:00+01:00,0
2018-10-22T18:44:00+01:00,11
2018-10-22T18:52:00+01:00,0
2018-10-22T19:00:00+01:00,12
2018-10-22T19:08:00+01:00,0
2018-10-22T19:16:00+01:00,0
2018-10-22T19:24:00+01:00,0
2018-10-22T19:32:00+01:00,12
2018-10-22T19:40:00+01:00,0
2018-10-22T19:48:00+01:00,0
2018-10-22T19:56:00+01:00,12
2018-10-22T20:04:00+01:00,0
2018-10-22T20:12:00+01:00,0
2018-10-22T20:20:00+01:00,0
2018-10-22T20:28:00+01:00,0
2018-10-22T20:36:00+01:00,13
2018-10-22T20:44:00+01:00,0
2018-10-22T20:52:00+01:00,0
2018-10-22T21:00:00+01:00,0
2018-10-22T21:08:00+01:00,0
2018-10-22T21:16:00+01:00,0
2018-10-22T21:24:00+01:00,0
2018-10-22T21:32:00+01:00,14
2018-10-22T21:40:00+01:00,14
2018-10-22T21:48:00+01:00,0
2018-10-22T21:56:00+01:00,0
2018-10-22T22:04:00+01:00,0
2018-10-22T22:12:00+01:00,0
2018-10-22T22:20:00+01:00,0
2018-10-22T22:28:00+01:00,0
2018-10-22T22:36:00+01:00,0
2018-10-22T22:44:00+01:00,17
2018-10-22T22:52:00+01:00,0
2018-10-22T23:00:00+01:00,18
2018-10-22T23:08:00+01:00,0
2018-10-22T23:16:00+01:00,0
2018-10-22T23:24:00+01:00,0
2018-10-22T23:32:00+01:00,0
2018-10-22T23:40:00+01:00,0
2018-10-22T23:48:00+01:00,0
2018-10-22T23:56:00+01:00,0
2018-10-23T00:04:00+01:00,0
2018-10-23T00:12:00+01:00,0
2018-10-23T00:20:00+01:00,0
2018-10-23T00:28:00+01:00,0
2018-10-23T00:36:00+01:00,0
2018-10-23T00:44:00+01:00,0
2018-10-23T00:52:00+01:00,0
2018-10-23T01:00:00+01:00,0
2018-10-23T01:08:00+01:00,0
2018-10-23T01:16:00+01:00,0
2018-10-23T01:24:00+01:00,39
2018-10-23T01:32:00+01:00,0
2018-10-23T01:40:00+01:00,0
2018-10-23T01:48:00+01:00,0
2018-10-23T01:56:00+01:00,0
2018-10-23T02:04:00+01:00,0
2018-10-23T02:12:00+01:00,0
2018-10-23T02:20:00+01:00,0
2018-10-23T02:28:00+01:00,0
2018-10-23T02:36:00+01:00,0
2018-10-23T02:44:00+01:00,0
2018-10-23T02:52:00+01:00,0
2018-10-23T03:00:00+01:00,0
2018-10-23T03:08:00+01:00,0
2018-10-23T03:16:00+01:00,0
2018-10-23T03:24:00+01:00,20
2018-10-23T03:32:00+01:00,20
2018-10-23T03:40:00+01:00,0
2018-10-23T03:48:00+01:00,0
2018-10-23T03:56:00+01:00,0
2018-10-23T04:04:00+01:00,21
2018-10-23T04:12:00+01:00,20
2018-10-23T04:20:00+01:00,0
2018-10-23T04:28:00+01:00,0
2018-10-23T04:36:00+01:00,0
2018-10-23T04:44:00+01:00,0
2018-10-23T04:52:00+01:00,0
2018-10-23T05:00:00+01:00,0
2018-10-23T05:08:00+01:00,0
2018-10-23T05:16:00+01:00,0
2018-10-23T05:24:00+01:00,42
2018-10-23T05:32:00+01:00,21
2018-10-23T05:40:00+01:00,0
2018-10-23T05:48:00+01:00,21
2018-10-23T05:56:00+01:00,83
2018-10-23T06:04:00+01:00,41
2018-10-23T06:12:00+01:00,0
2018-10-23T06:20:00+01:00,0
2018-10-23T06:28:00+01:00,100
2018-10-23T06:36:00+01:00,40
2018-10-23T06:44:00+01:00,59
2018-10-23T06:52:00+01:00,19
2018-10-23T07:00:00+01:00,0
2018-10-23T07:08:00+01:00,0
2018-10-23T07:16:00+01:00,0
2018-10-23T07:24:00+01:00,18
2018-10-23T07:32:00+01:00,0
2018-10-23T07:40:00+01:00,17
2018-10-23T07:48:00+01:00,35
2018-10-23T07:56:00+01:00,0
2018-10-23T08:04:00+01:00,0
2018-10-23T08:12:00+01:00,16
2018-10-23T08:20:00+01:00,0
2018-10-23T08:28:00+01:00,0
2018-10-23T08:36:00+01:00,16
2018-10-23T08:44:00+01:00,33
2018-10-23T08:52:00+01:00,16
2018-10-23T09:00:00+01:00,16
2018-10-23T09:08:00+01:00,16
2018-10-23T09:16:00+01:00,16
2018-10-23T09:24:00+01:00,47
2018-10-23T09:32:00+01:00,63
2018-10-23T09:40:00+01:00,31
2018-10-23T09:48:00+01:00,46
2018-10-23T09:56:00+01:00,0
2018-10-23T10:04:00+01:00,31
2018-10-23T10:12:00+01:00,60
2018-10-23T10:20:00+01:00,0
2018-10-23T10:28:00+01:00,29
2018-10-23T10:36:00+01:00,44
2018-10-23T10:44:00+01:00,87
2018-10-23T10:52:00+01:00,30
2018-10-23T11:00:00+01:00,44
2018-10-23T11:08:00+01:00,88
2018-10-23T11:16:00+01:00,14
2018-10-23T11:24:00+01:00,29
2018-10-23T11:32:00+01:00,14
2018-10-23T11:40:00+01:00,27
2018-10-23T11:48:00+01:00,53
2018-10-23T11:56:00+01:00,0
2018-10-23T12:04:00+01:00,13
2018-10-23T12:12:00+01:00,26
2018-10-23T12:20:00+01:00,35
2018-10-23T12:28:00+01:00,30
